host,port
jurnal.bsi.ac.id,8880
jurnal.bsi.ac.id,8443
jurnal.bsi.ac.id,8080
jurnal.bsi.ac.id,2086
jurnal.bsi.ac.id,443
jurnal.bsi.ac.id,80
hostserver3.bsi.ac.id,995
hostserver3.bsi.ac.id,993
hostserver3.bsi.ac.id,1011
hostserver3.bsi.ac.id,587
hostserver3.bsi.ac.id,443
hostserver3.bsi.ac.id,111
hostserver3.bsi.ac.id,110
hostserver3.bsi.ac.id,143
hostserver3.bsi.ac.id,80
alumni.bsi.ac.id,2000
alumni.bsi.ac.id,443
alumni.bsi.ac.id,80
students.bsi.ac.id,443
students.bsi.ac.id,143
students.bsi.ac.id,80
says.bsi.ac.id,2000
says.bsi.ac.id,443
says.bsi.ac.id,80
kemahasiswaan.bsi.ac.id,2086
kemahasiswaan.bsi.ac.id,2080
kemahasiswaan.bsi.ac.id,995
kemahasiswaan.bsi.ac.id,993
kemahasiswaan.bsi.ac.id,465
kemahasiswaan.bsi.ac.id,587
kemahasiswaan.bsi.ac.id,443
kemahasiswaan.bsi.ac.id,143
kemahasiswaan.bsi.ac.id,110
kemahasiswaan.bsi.ac.id,80
kemahasiswaan.bsi.ac.id,21
digital.bsi.ac.id,3306
digital.bsi.ac.id,995
digital.bsi.ac.id,993
digital.bsi.ac.id,465
digital.bsi.ac.id,1011
digital.bsi.ac.id,587
digital.bsi.ac.id,443
digital.bsi.ac.id,111
digital.bsi.ac.id,80
digital.bsi.ac.id,110
digital.bsi.ac.id,143
bipemas.bsi.ac.id,3306
bipemas.bsi.ac.id,2086
bipemas.bsi.ac.id,2080
bipemas.bsi.ac.id,995
bipemas.bsi.ac.id,993
bipemas.bsi.ac.id,465
bipemas.bsi.ac.id,587
bipemas.bsi.ac.id,443
bipemas.bsi.ac.id,143
bipemas.bsi.ac.id,110
bipemas.bsi.ac.id,80
bipemas.bsi.ac.id,21
conference.bsi.ac.id,3306
conference.bsi.ac.id,2086
conference.bsi.ac.id,2080
conference.bsi.ac.id,995
conference.bsi.ac.id,993
conference.bsi.ac.id,465
conference.bsi.ac.id,587
conference.bsi.ac.id,443
conference.bsi.ac.id,143
conference.bsi.ac.id,110
conference.bsi.ac.id,80
conference.bsi.ac.id,21
greencampus.bsi.ac.id,2086
greencampus.bsi.ac.id,2080
greencampus.bsi.ac.id,995
greencampus.bsi.ac.id,993
greencampus.bsi.ac.id,465
greencampus.bsi.ac.id,587
greencampus.bsi.ac.id,443
greencampus.bsi.ac.id,143
greencampus.bsi.ac.id,110
greencampus.bsi.ac.id,80
greencampus.bsi.ac.id,21
api.bsi.ac.id,8880
api.bsi.ac.id,8443
api.bsi.ac.id,8080
api.bsi.ac.id,2086
api.bsi.ac.id,443
api.bsi.ac.id,80
bec.bsi.ac.id,3306
bec.bsi.ac.id,1011
bec.bsi.ac.id,465
bec.bsi.ac.id,587
bec.bsi.ac.id,111
bec.bsi.ac.id,443
bec.bsi.ac.id,110
bec.bsi.ac.id,143
bec.bsi.ac.id,80
support.bsi.ac.id,10000
support.bsi.ac.id,3306
support.bsi.ac.id,443
support.bsi.ac.id,80
support.bsi.ac.id,21
news.bsi.ac.id,2086
news.bsi.ac.id,2080
news.bsi.ac.id,995
news.bsi.ac.id,993
news.bsi.ac.id,465
news.bsi.ac.id,587
news.bsi.ac.id,443
news.bsi.ac.id,143
news.bsi.ac.id,110
news.bsi.ac.id,80
news.bsi.ac.id,21
proceeding.bsi.ac.id,3306
proceeding.bsi.ac.id,443
proceeding.bsi.ac.id,80
proceeding.bsi.ac.id,21
lppm.bsi.ac.id,2086
lppm.bsi.ac.id,3306
lppm.bsi.ac.id,995
lppm.bsi.ac.id,465
lppm.bsi.ac.id,1011
lppm.bsi.ac.id,587
lppm.bsi.ac.id,111
lppm.bsi.ac.id,443
lppm.bsi.ac.id,110
lppm.bsi.ac.id,143
lppm.bsi.ac.id,80
bsi.ac.id,143
bsi.ac.id,110
bsi.ac.id,80
bsi.ac.id,21
staff.bsi.ac.id,2000
staff.bsi.ac.id,443
staff.bsi.ac.id,80
saysv3.bsi.ac.id,2000
saysv3.bsi.ac.id,443
saysv3.bsi.ac.id,80
career.bsi.ac.id,2086
career.bsi.ac.id,3306
career.bsi.ac.id,995
career.bsi.ac.id,993
career.bsi.ac.id,465
career.bsi.ac.id,1011
career.bsi.ac.id,111
career.bsi.ac.id,587
career.bsi.ac.id,443
career.bsi.ac.id,110
career.bsi.ac.id,143
career.bsi.ac.id,80
